question	category
离婚诉讼	1348
员工自愿辞职，单位要不要支付经济补偿？	498
父亲的遗产怎么分？	397
农民工讨薪需提供材料	137
夫妻之间婚内的借款协议有效吗？	80
单位不和我签订劳动合同违法吗？	134
工伤认定到底是去哪个部门认定?	722
申请法律援助应提供的材料	1065
夫妻	1343
继承人有扶养能力和扶养条件，不尽扶养义务能不分或少分遗产吗？	398
物业公司进驻小区要满足哪些条件？	2206
人民法院执行仲裁裁决应当具备哪些条件？	3480
单位违背我们意愿让我们加班违法吗？	252
办理取保候审需要些什么资料?	770
一次性伤残补助金计算公式是怎样的？	606
房产赠与合同公证怎么做	982
朋友借人家高利贷跑了，我是担保人，我该怎么做？	860
法律援助去哪里申请?	1056
案件受理费	1498
见习医生独立行医，医院是否担责？	2431
上班途中发生交通事故，如何赔偿?	798
不能结婚的情形有哪些？	1897
婚前一方父母全款买的房子怎么分？	51
公司该不该马上支付辞职员工工资？	188
如果怀孕被辞退，生育险怎么办？	313
一方坐牢去哪里离婚？	95
先诉抗辩权	1847
发生交通事故什么情况下算工伤？	800
结婚证丢失后要如何办理离婚手续	12
我想咨询一下婚姻法，	1606
医生交接班导致患者误诊，医疗机构要不要承担责任？	2384
发生交通事故应该去哪里起诉？	618
折损费	1772
职业病鉴定要啥材料？	585
离婚时，怎样分割股票了？	73
借给朋友信用卡，他刷走1W后不还钱，我该怎么办？	866
何时可以申请交通事故调解？	742
员工离职时工作没完成交接，公司可以不支付工资吗？	494
民事再审申请书如何写？	2534
离婚孩子户口	23
没用的说一堆	1887
职工下班途中发生交通事故 能认定为工伤吗?	719
我想问一下领结婚证的同时户口本上的婚姻状况会不会直接改成已婚？	1904
员工旧伤复发还要发停工留薪期间的工资吗？	481
房屋质量保修期是多长时间	1058
试用期辞职	230
办理离婚需要多少钱	10
小区里的车位、车库该归谁所有？	2236
申请财产保全如何查对方名下财产？	832
分居满两年,婚姻关系是否会自动解除?	90
什么情况下可以办理取保候审,不能办取保候审的情形？	768
赡养费的计算方法？	1248
未经员工同意要求加班，员工应当怎么办？	252
在试用期内的员工可以提前转正吗？	293
离职人员有年终奖吗?	463
我想咨询	1881
交通事故签了协议书，赔款方发现赔偿是保险公司的责任，可以反悔吗	712
寄养家庭应当具备哪些条件,寄养家庭应履行哪些义务？	1169
员工患职业病期间单位能不能解除劳动合同？	1291
异地交通事故起诉流程	616
断绝母子关系后还能继承母亲的遗产吗？	379
"因父母丧失劳动能力,其田地由子女管理吗？	"	1215
企业之间可以相互借贷吗?	878
10级工伤	2009
写定金条款的注意事项有哪些	949
公司能不能拒绝录用乙肝病原携带者？	421
伤残等级鉴定需要什么材料	660
员工自动离职，如何处理能有效规避风险？	531
先抱养后补办手续是否可以？	1224
事实劳动关系如何认定	263
对伤残鉴定结果不服？	187
员工如何拒绝公司调岗，公司怎么办？	426
建设工程施工合同公证	994
请问律师，分居多久可以自动解除婚姻	1861
叔叔收养侄女,是否受相差40岁的年龄限制	1113
医疗事故技术鉴定费的缴纳由谁付？	2494
社区服刑人员在社区矫正期间应当履行哪些义务？	3215
可以在异地办离婚吗?	94
用人单位不给劳动者交纳社会保险怎么办？	316
同性家庭能否收养孩子吗？	1114
集体合同	1454
与职工私了工伤，单位需要注意什么？	607
员工提出离职后进行工作交接的一个月需要为其缴纳社保吗？	491
工伤鉴定后要是对伤残等级结论不服怎么办？	187
劳动合同未明确写明工作地点，然后公司要变更工作地点，员工主动离职会有补偿吗？	3668
子女的赡养义务包括哪些？	1256
子女不尽赡养义务	1243
收养关系成立的程序	394
法律职业资格证书补发、更换有哪些注意事项 ?	3322
同一顺序继承人遗产怎么分配？	296
寄养家庭在寄养期间必须履行哪些...？	1169
婚前一方借的钱，婚后夫妻另一方有义务偿还吗？	838
收入状况公证（涉外）怎么办理？	1029
同父异母、同母异父的兄弟姐妹之间是否享有继承权？	365
起诉离婚的程序	92
哪些情形会导致继承权的丧失	2036
劳动合同中只约定试用期可以吗？	538
感情破裂	1710
用人单位与劳动者约定服务期应符合哪些规定?	254
收养关系解除后,养子女对养父母还有赡养义务吗？	1220
劳务派遣人员加班费由谁发？	849
消费者被消费欺诈了，怎么办	2105
父母亲如果财产分配不公,就不承担赡养义务？	1233
结婚之前双方父母买的房子归谁？	53
结婚没有领证受不受法律保护	1871
用工单位辞退被派遣员工要赔偿吗？	214
醉酒驾车如何处罚？	750
父母去世后财产属于独生子女吗？	354
房屋已经空置一段时间没人入住，是否可以少交或不交物业费?	2252
医疗侵权纠纷中的诉讼时效是几年？	2523
怀孕公司突然辞退,怎么办？	216
欠个人钱还不起怎么办？	834
责任认定书推翻	732
车停路边被撞 肇事者逃逸 我该怎么办?	754
如果要申请取保候审应该怎么做	766
营养费计算标准及依据	655
员工自动离职，公司可以不发工资吗？	3039
劳动合同中止的条件有哪些?	3635
业主能以物业提供的服务有瑕疵而不交物业费吗？	2256
医院出售变质药物致人损害，患者可不可以要求医院承担责任？	2391
刚入职培训完就离职，雇佣单位可以要求赔偿吗？	533
夫妻一方欠钱离婚后另一方还继续承担还债款吗？	779
涉外离婚的程序	113
员工发生工伤公司有责任吗？	489
离婚后对方结婚了却不迁户口怎么办 ?	105
执行缓刑期间需要遵守哪些规定	632
工伤鉴定评几级？	592
仲裁当事人签发授权委托书时应注意什么事项？	3495
借款利息太高了，怎么办？	903
酒后驾驶与醉酒驾驶有什么区别	749
建立收养关系是否须征得被收养人同意	1118
约定买卖合同作为民间借贷合同的担保，约定有效么？	875
想知道捡到弃婴该怎么办理收养手续	1124
伤残的残疾赔偿金怎么计算	636
赡养费包括哪几项的呢?	1261
取保候审需要什么材料	770
三包期限的起算	2176
什么情形下的抱养行为违法？	1160
离婚一般要花多少钱?	10
办监护人公证需带什么证件	1035
起诉离婚有哪些程序	93
双方没领证，男方可以要回彩礼吗？	67
不服工伤认定	161
哪些情况子女可以免除赡养义务	1213
诉讼材料	1643
贷款已批但银行迟迟不放款怎么办？	888
老人申请追索赡养费 法院可裁定先予执行	1277
对方想离婚,我不想离婚,怎么办	3537
交通事故肢体缺失（四肢肢体的缺失）有哪些伤情？	1265
丧假是多少天？	347
被车撞了怎么办,被车撞了可以要求哪些赔偿?	634
没签劳动合同发生工伤怎么办？	273
几年可以确定事实收养	1132
我能随时离职吗？	189
儿子欠了赌债，父母必须要还吗？	851
休产假期间用人单位可以不发工资吗？	507
涉外收养程序、流程,需要哪些条件、手续,如何	1133
电梯运营维修费应该让谁交？	2273
借钱不还，没打借条怎么办？	782
离婚时彩礼如何判决	38
什么是经营者？	2197
对方借钱不还，我能报案吗？	791
小区空地可不可以被物业公司利用划出车位出租？	2124
员工经常旷工，单位可以解雇他吗？	468
上下班途中受伤能不能算工伤？	577
央企拖欠职工工资	133
我想离婚应该怎么办？	11
离婚时公积金怎么分	2023
医闹该承担什么法律责任？	2456
交通事故造成死亡的,赔偿到位,对方已写谅解书的还要负刑事责任吗	708
物业能卖小区车位吗	1973
被撞死亡后死者家属可以获得哪些赔偿	635
伤残鉴定的费用是多少，该由谁来出？	663
离婚父母子女赡养	1198
买房子交定金注意事项	949
我要去哪个法院起诉离婚？	13
如何给服刑人员汇款？	3315
同居期间，一方个人借的钱怎么还？	85
老板不给员工发工资应该怎么办？	133
劳动申请书	179
请问丧葬费属于遗产吗？	392
网贷可以不还利息吗	902
用人单位不和员工签订劳动合同，员工要这么办？	132
我被电瓶车撞了	695
年休假是怎么安排的？	495
医学会可不可以单方中止医疗事故进行鉴定？	2485
哪些办法能预防医院收费不合理？	2448
罪犯要履行的义务有哪些？	3318
结婚后买的房子,离婚如何分割?	44
申请劳动仲裁,后如果受理了，我还可以到新单位上班吗	402
在外地交通事故,能在异地起诉吗?还是要回来发生交通事故的本地	618
继承房产过户的费用有哪些？	912
商品房买卖合同中的主要条款一般指什么？	947
消费者买贵了，可以退货吗	2132
未婚先孕该找谁补偿	1767
赠与合同公证书怎么办	982
个人如何补缴养老险？	305
投诉要向什么机构提出？	2054
走快速理赔有时间限制吗？	763
委托书公证如何办理,需要提交哪些材料	979
面对医院机构的过度检查，患者该如何维权？	2445
算是破坏军婚吗	1474
发生交通事故如何处理	695
婚假期间，单位还要发工资吗？	509
收养关系可以通过哪些途径解除?	1152
不让我跟孩子见面	18
未达到手术目的，忽视手术告知，医院要不要承担责任？	2374
没有领结婚证小孩可以上户口吗	128
员工出差遇车祸算不算工伤	715
刑事	1655
如何履行告知义务？如何保证劳动者已经享有知情权？	2594
乘搭小区电梯受到伤害，谁来负责？	2189
夫妻一方和债务人约定将夫妻共同债权归其所有的协议，是否有效？	82
出了交通事故怎么办	695
我在路上撞车了 怎么办？	695
我迟到了单位就要解雇我，这合理吗？ 	248
诉讼离婚本人不出面可以吗？	121
试用期单位不交社保怎么处理？	302
怎么写劳动仲裁申请书	179
房屋质量问题能不能退房或索赔	1055
法院判决书下达后,申请强制执行,怎么申请?	274
对劳动仲裁裁决不服,应该向哪个法院起诉	261
网贷借钱给别人，对方失踪，我应该怎么办？	773
员工在单位所与第三人打架,用人单位是否要赔偿？	485
上班的时候被人打算工伤吗？	584
怀孕了的员工还能加班吗？	268
医生在诊疗的过程里没有尽到谨慎义务，医院是否承担责任？	2401
非业主可以参加业主大会吗？	2136
一次性伤残就业补助金时效是多久?	492
卖房委托书公证怎么办理？	997
青春损失费可以要求赔偿吗?	1051
因单位没和我签订劳动合同，我应该得到经济补偿金吗？	217
我想提前退休可以吗?	197
车祸精神损失费怎么算	651
员工工作中存在严重失误，单位辞退员工合法吗？	245
患者因医疗器械、医疗产品不合格造成损害，能不能要求医院承担责任？	2395
快速理赔注意事项有哪些？	765
交通事故中的工伤	1605
非婚生子女可以继承生父母的遗产吗？	327
多次孕检仍生下残婴，医院该负什么责任？	2466
婚姻在分居期间,男方所借的债务还用女方分担吗	86
业主应不应该交垃圾清理费？	2281
卖房委托书公证需要提交哪些材料	997
办理公证委托需要多少钱	1004
离婚需要结婚证吗,结婚证丢失能离婚吗?	12
劳动仲裁的案子,所给律师费应该是多少?	279
交通事故中如何划分主要责任和次要责任?	774
住宅专项维修资金如何使用？	2343
公司要倒闭,遣散员工要怎么处理	1978
夫妻分居两年可以算是自动解除婚姻吗?	90
卖房委托公证如何办理	997
简易程序	1675
申请工伤认定需要准备哪些材料？	160
如何办理婚前财产公证	996
经济补偿金计算方法是什么？	801
合同到期后，公司不和员工续签合同，员工要怎么办？	258
不得特许离监的情形有哪些？	3356
女职工孕假	343
职业病诊断有异议怎么处理？	575
遗赠扶养协议公证怎么办理？	984
工伤赔偿协议签订后,能否反悔	149
假释的批准机关是哪个？	3451
建立收养关系是否须征得被收养人的同意?	1118
交通事故营养费多少钱一天	655
保证人不承担责任的情形有哪些？	854
物业单位没有和业主委员会继续签订物业服务合同，物业服务期限是否延续？	2174
岗前培训中发生事故算不算工伤？	167
高利贷还不上怎么办？	853
非全日制就业人员怎么算工资？	499
嫁出去的女儿有继承权吗 ？	341
小区内水、电、暖、气等专营设施设备的产权归谁所有？	2228
怎么申请职业病诊断？	1097
什么是遗赠扶养协议？	1208
我在上班的路上被车撞了	719
员工试用期表现不好，可以延长试用期吗？	443
投保交强险和商业三者险，出险后哪个先赔？	711
签订监护协议后，精神病人在医院自杀，医院是否担责？	2412
我被车撞了,该怎么赔偿?	617
撞死人要坐多久的牢	772
退休人员返聘工伤，单位赔吗？	476
离婚后生活困难 能否不付抚养费？	30
什么是赡养协议,具体内容怎么写？	1199
哪些属于夫妻共同债务 哪些不属于夫妻共同债务	87
劳务派遣员工的加班费由谁来承担?	849
患者或家属怎么与医疗机构方进行调解？	2518
车辆没有交强险上路出了车祸承担责任吗？	718
工伤死亡赔偿金应该怎样计算？	202
房产证赠与公证流程是什么	982
在不在	1880
交通肇事，吊销驾驶执照	1770
没有法定继承人的遗产该归谁？	1279
怎样才算破坏军婚	117
工伤5级	2004
劳动仲裁需要钱吗	276
发生车祸之后和解有什么技巧？	707
发生交通事故，我的交强险可以赔偿我自己吗？	677
离婚后的配偶有继承权吗？	358
我有个法律问题想了解一下	1881
车祸死亡赔偿是多少	628
实习生可以不交保险吗？	548
发生交通事故未及时报警,事后还能报警吗	739
试用期工资标准是多少？	270
工伤鉴定为几级？	592
信用卡逾期不还，会被判刑吗？	882
别人用我的信用卡不还款该怎么办？	866
残疾人可以领养孩子吗？	1109
借贷起诉状模板？	811
实习生公司需要交纳社会保险金吗？	548
假如我作为交通事故责任方，报销流程先走交强险，强险报销额度不够再走商业险，对吗	711
申请工伤认定应当注意什么?	560
企业要辞退被依法追究刑事责任的员工应如何操作？	3132
交通事故法院起诉书怎么写？	623
误工费如何计算	645
一方两卖	1972
员工术后恢复不好，单位可以对其进行调岗吗？	547
车位	1386
父母去世后，遗产一定属于独生子女吗？	354
领取工伤伤残补助金需要什么手续？	204
诉讼时效已过怎么才能把钱要回来？	784
节假日加班费怎么给	355
父母债务子女要偿还吗？	845
员工不胜任工作企业能随意调岗吗？	429
见习医生独立行医，医疗机构要不要承担责任？	2431
卖房人一房多卖，其中一位买家已经过户，房屋产权应该归谁？	960
赡养纠纷是否必须追加所有具有赡养义务的主体为被告	1255
房屋买卖协议纠纷	1984
酒驾和醉驾有啥区别	749
工伤认定应注意哪些问题	726
嫁出去的女儿还能继承父母的遗产吗？	341
欠赌债还不起怎么办 ？	840
怎么确定事实劳动关系？	2640
怎么解除收养关系,哪些情况下可以解除收养关系	1217
去起诉谁？	2294
最低工资的含义？	2855
老板辞退我了，我可以要求老板支付经济补偿吗？	224
什么是工伤鉴定？	1138
卖房人一房多卖致使我无法买到房，还需不需要赔偿我的损失？	969
医护人员透露病情导致患者被“吓死”，医院要不要承担责任？	2428
如何预防虚假病假？	3564
患者的权利有哪些？	2356
试用期不交社保应如何操作？	302
企业员工旷工，是否还要为其缴纳保险？	455
法院判决强制执行可以执行几次	914
房屋质量有问题可以退房吗	1055
雇佣者不给外籍员工缴纳社保，会发生什么用工风险？	552
抵押	1848
收养公证怎么办理？	1039
节假日可以远程帮教会见吗？	3180
医疗机构拒绝收治危急患者造成严重后果，要不要承担责任？	2367
劳动仲裁流程	220
被辞退，单位是否需要向其支付一次性伤残就业补助金？	206
对交通事故责任认定书不服如何处理?	732
事实收养公证的费用时多少?	1145
协商中协议书中约定“乙方不得再向甲方主张权利，不得申请仲裁、提起诉讼”，员工能否反悔再告公司？	3085
车追尾	1573
离职后发现患上职业病该怎么处理？	578
患者或家属怎样与医疗机构方进行调解？	2518
离婚前生了一个孩子,再婚还能再生一个吗?	124
限于当时医疗水平难以诊疗导致患者损害的，家属能不能要求医院承担责任？	2426
如何收养孩子,怎样收养,收养孩子程序是什么?	394
员工在工伤保险备案期内，单位如何规避用工风险？	528
生育津贴与产假工资，可同时拿吗？	457
办理房产赠予公证需要什么手续	982
如何防范员工入职时的法律风险?	525
小三算违法吗？	1910
地下车库车位的所有权	1973
出嫁的女儿赡养父母吗？	1276
诉讼费的缴纳标准	2074
考法考对学历有什么要求？	3242
不服工伤认定结论可否提起行政诉讼？	161
能判离婚吗？	7
陪护家属的财物在医院被盗，谁来承担责任？	2452
员工以公司未支付二倍工资为由提出被迫解除劳动合同并要求经济补偿如何处理？	3061
医院拒绝收治危急患者造成严重后果，谁来担责？	2367
医务人员操作不当导致并发症，医疗机构要不要承担责任？	2421
和解协议签了后,能反悔吗	712
三包的内容	2168
赡养费包括哪些费用?	1261
城镇居民人均可支配收入和农村居民人均纯收入是多少？	650
交通事故可以要求哪些赔偿	622
法院离婚必须是女方和男方同时出席吗？	121
假释需满足什么条件？	3432
单位可以和达到法定退休年龄的员工解除劳动合同吗？	543
本单位职工在出差期间发生交通事故是否是工伤	715
车辆改型	2014
可以收集什么诉讼证据？	2299
经营者以次充好，怎么维权	2108
合同中约定，根据需要进行调岗是否有效？	425
公司不给补偿金,工作交接要签字吗？	496
无故被公司辞退怎么办好？	181
房屋质量出现问题应该找谁	1061
借钱人死了，他的借条还在我该找谁要钱？	783
工伤待遇	136
向法院起诉要多少钱	1249
户籍注销公证怎么办理？	1041
我外婆和我老公的爷爷是亲兄妹，我们算是近亲吗？我们的婚姻是否有效	1902
怎样起诉离婚	93
其他业主装修影响休息怎么处理？	2325
被车撞了要赔偿什么?	617
事故责任复核可以申请几次	737
被宣告缓刑的犯罪分子在缓刑考验期间应当遵守哪些规定?	632
做伤残鉴定需要哪些材料？	660
书面劳动合同	1444
欠了钱还不起，心里难受，不知道该怎么办？	834
劳动合同的地点变更怎么处理？	3666
服务期的年限是多久？	2824
离婚公积金分配	2023
对事故责任认定书不服申请复核都需要准备什么材料?	735
银行房贷审批通过,迟迟不放款怎么办?	888
单位试用期不交社保应如何维权？	302
以自己的名义网上贷款借他人使用，现在对方不还钱，我该怎么办？	773
员工入职要不要体检？	2596
孩子的抚养权法院会怎么判？	17
收养弃婴,需要啥手续?	1124
婚前共同出资买房离婚时房子怎么分？	47
伤残鉴定费用一般是多少,由谁来付?	663
单位不给我工伤认定我怎么办？	218
在哪些情况下加班的时间不受限制？	513
工伤认定必须要做吗？	559
民间借贷起诉时间是多久?	813
我们两个人有三个孩子，抚养权会怎么判决？	27
在哺乳期，单位可以给我调岗吗？	283
企业对工伤认定的结论不服怎么办？	568
保险公司如何理赔?	629
能否撤销先前所立遗嘱？	408
工伤赔偿和交通事故赔偿可以同时获得吗	733
办理离婚去哪里？	1960
女职工做产检未上班的可以扣工资吗？	2925
亲属关系公证怎么办理	1038
交通事故赔偿调解的最佳时间是什么时候?	742
失业金标准	323
单位的注册地与劳动合同的履行地不一致怎么办？	539
签订交通事故和解书后可以反悔吗？	712
关于定金应注意哪些问题？	949
录用通知书与劳动合同不一致，以哪个为准呢？	418
上下班途中出车祸算不算工伤	719
员工不愿意签劳动合同，企业怎么办？	436
见习医生观摩流产，是否侵犯患者隐私权？	2361
出生公证如何办理	1033
劳动争议可以申请仲裁吗?	251
做个房产公证需要多少钱	1004
如何认定房屋的质量不合格	1059
放弃继承后可以反悔吗？	386
医疗机构没有尽到转诊义务导致事故发生，要不要承担责任？	2398
我把信用卡借给别人，别人不还钱我该怎么办？	866
银行贷款已经批准,但是迟迟不放款,怎么办	888
继子女与继父母之间是否互相有继承权？	336
酒后驾车将受到怎样的处罚?	748
单位不执行劳动仲裁怎么办?	246
抚养费应该给多少	21
离婚需要准备哪些资料	14
【责问的】	1887
收养公证（涉外）怎么办理？	1039
丧假工资该怎么计算？	243
不缴纳罚金是否会影响减刑、假释？	3518
一般律师费怎么收取？	648
公司违法解除劳动合同，应该怎么办？	184
申请工伤认定有时间限制吗?	730
伤残就业补助金	1440
继承人放弃后可以反悔吗？	386
婚前一方的债务婚后债权人能要求另一方偿还吗？	838
申请工伤认定时没有劳动合同怎么办？	221
如何办理婚后财产公证？	977
办理入职手续需公司要注意什么事项？	419
你是真人吗	1883
被收养人成年后收养人是否可以声明解除收养关系？	1148
夫妻婚后购买的车位算是共同财产吗？	62
去法院起诉需要哪些材料呢？	930
病假待遇	1802
单位晚上聚餐喝酒，回家路上摔倒脑出血，算不算工伤？	162
同居	1456
楼上的业主天天装修影响我休息，我可以怎么办？	2325
担保贷款被起诉，怎么办 ？	859
用人单位如何制定录用条件？	423
胎儿出生后死亡，该遗产由谁继承？	376
医疗机构应该对误诊承担什么责任？	2383
存款是怎么分配的?	40
按照我国收养法的规定,可以作为送养人的有哪些人 ?	1157
假离婚怎么办？	1874
劳动合同是在单位的胁迫下签订的，我可以解除劳动合同并获得赔偿吗？	1293
劳务派遣过来的员工发生工伤，用工单位要不要承担赔偿责任？	598
过继孩子需要什么条件？	1110
工伤认定应该去哪个部门？	563
失业保险转移是怎样操作的？	304
夫妻离异后,对方是否可以更改孩子的姓名?	24
我在一个单位干了15年，现在要被辞退，我想知道能获得什么补偿吗？	1290
劳动能力鉴定有什么作用？	1172
做伤残鉴定要准备哪些材料？	660
诉讼财产保全申请书	932
怎么制定调岗调薪的规章制度？	556
异地买房委托公证应该怎么办理啊?	998
有哪些权利是物业公司可以行使的？	2121
小区内水、电、暖、气等专营设施设备的产权可以归谁所有？	2228
同一个伤残 不同机构鉴定结果会不一样吗	727
借条过了两年还能要回钱吗？	784
过继小孩需要什么条件	1110
高温津贴发放争议中的举证责任如何分配？	2940
公司可以向个人借款吗?	879
领了生育津贴就不能领产假工资吗？	457
去做职业病鉴定，需要些什么手续？	338
欠债人死了，按法律能找谁要回钱？	783
依法应当认定为工伤的情形是哪些？	562
劳动仲裁有什么样的程序或步骤?	220
工伤公了	561
在贷款公司借钱，不还会有什么后果？	835
残疾赔偿金如何计算	636
我想离婚,我又不想出面,可以全权委托律师吗?	121
公司员工入职的时候，怎样进行法律风险防范？	525
业主能否因为物业把一部分服务转包给第三方而不交物业费？	2254
发生交通事故去法院起诉，应该准备哪些证据？	627
什么叫无效婚姻,哪些情况属于无效婚姻的法定情	1902
业主可以以污水管道返水导致家中财物受损而不交物业费吗？	2266
订立劳动合同时应注意什么？	2658
房屋质量问题保修的保修期是多久	1058
用人单位招用劳动者时，收取押金、身份证等证件，劳动者应该怎么办？	420
代驾	1575
可以到哪些机构领养孩子？	1125
生产者的三包义务有哪些？	2179
试用期工资不能低于多少？	270
哪些债务属于夫妻共同债务?	87
请问一般营养费怎么计算?	655
我能找对方的保险公司要钱吗	676
交通事故发生后怎么办,处理步骤是什么?	695
工伤保险报销所需材料有些什么？	175
交通事故发生,双方如何从保险公司获赔?	629
欠债还钱是不是天经地义？	846
离婚的时候，双方可以分割彩礼吗？	38
一般交通事故律师费用多少?	648
怎样申请取保候审，具体流程是什么？	766
可以自动解除婚姻关系吗？	76
发生交通事故	695
员工发生工伤事故时，公司应在第一时间如何处理?	489
医院未履行告知义务，导致新生婴儿出生残疾，医院该不该承担责任？	2469
护士没有按常规护理导致患者病情恶化，该让谁承担责任？	2406
劳动法工资	1321
业主把防盗门外开，影响邻居出入怎么办？	2327
交通事故的责任是怎么划分的	774
工伤报销需要准备的材料有哪些？	558
什么是劳动合同的法定必备条款？	335
离婚过程中可以和其他人同居吗？	126
单位可以和哪些职工签订竞业限制合同？	440
财产损害的处理	2088
申请支付令要满足什么条件?	825
小区里的树倒了，要谁负责？	2232
单位可以只交工伤保险？	448
办理个人重要社保变更提供什么材料？	322
产假的工资要怎么算？	234
仲裁裁决不服,要上诉到法院,需要准备什么材料	282
对不予法律援助的决定不服怎么办?	1076
离婚要改孩子名字？	24
怎么样制定调岗调薪的规章制度？	556
哪些情况下劳动者可以得到经济补偿金？	359
社区服刑人员服刑过程中有哪些行为会构成脱管？	3292
工伤认定部门	157
工伤认定书没下来，医疗费可以找单位报吗？	155
收养孩子有哪些条件限制?	1223
职工旷工期间,单位是否有义务为职工缴纳社会保险?	455
优先受偿权	1850
孩子不是亲生的，离婚时可以要回扶养费吗？	115
单位不经过我们同意就让我们加班，违法吗？	252
涉外婚姻状况公证书如何办理	1037
辞职一个月不让走	189
结婚后,单独立户的问题？	109
医疗机构有没有告知说明义务？	2380
交通事故和解需要注意些什么？	704
家属因药费贵而不愿给患者用药导致其死亡，医院是否承担责任？	2435
公司不和员工签劳动合同我该怎么办？	132
劳动合同有什么法律效力？	2667
社会工作者能参与社区矫正工作吗？	3296
多份遗嘱的效力？	407
怎样办理 遗嘱继承公证?	975
生日当天可以领证吗?	111
业主可不可以拒绝前期物业管理合同的内容？	2169
断绝了亲子关系还有权继承遗产吗？	379
手术同意书授权不明，告知不充分，医院是否承担责任？	2375
人民调解委员会如何设立？	3196
农民工工地受伤单位要赔不？	597
单位在录取员工时，要怎么来进行法律风险防范？	526
约定的还款日期未到，债权人能否要求提前还款？	842
什么是业主专有权？	2332
用人单位不给员工缴纳社保，怎么维权？	303
用人单位是否必须向员工支付保密费？	2985
交通事故责任认定书几天能出来	729
房屋面积误差比如何计算？	950
证明劳动者不能胜任工作需要注意哪些问题？	2760
房屋租赁合同如何公证?房屋租赁公证需要什么手续	983
还在试用期单位不交社保，该怎么办？	302
劳务派遣中违法解除合同能否要求继续履行？	3747
工伤认定申请需要提交什么材料?	725
交通事故委托律师费用怎么算？	648
员工发生工伤,公司有责任吗？	489
新房如何办理房产证	918
发生房屋认购协议纠纷怎么办？	942
职工的哪些情形应当认定为工伤？	154
我是担保人，在借条上写了到期如没还款，愿承担一切法律责任，借条过期了，这种担保属于无限期担保吗？	872
信用卡逾期未还款后果	882
抱养婴儿要满足怎样的条件？	1223
债务人不还钱我可以拿走他家值钱的东西抵债不	820
车子等财物在小区被损毁，物业有责任吗？	2065
哪几种情况延长加班时间不受限制？	513
对仲裁裁决书不服的应怎么救济?	260
对鉴定结论不服的该如何处理？	1186
员工试用期间有工资吗？	180
患者享有肖像权利吗？	2358
在中国同性恋可以领结婚证吗	130
企业能否拒绝录用乙肝病原携带者？	421
工伤认定的流程是怎样的？	194
对于欠钱不还的人可以拿走对方财 务抵债吗	820
监狱的职能是什么？	3298
领结婚证需要准备什么东西 哪些材料	367
用人单位违法解除劳动合同我可以怎么处理？	184
【夸奖/感谢】	1882
如何写收养弃婴申请书	1122
请问房屋赠与合同公证需要哪些材料?	982
请问离职后能拿到医疗补助金吗？	209
发生交通事故,交强险与商业险的赔付顺序是怎样的?	711
离婚时，股票怎么分？	73
债务纠纷起诉需要提供哪些证据？	812
劳动合同约定员工同意单方调岗调薪有效么？	2778
公司聚餐回家的路上发生交通事故算不算工伤？	703
对仲裁结果不服怎么办	260
放弃继承声明书需要怎么办理的呢?	1003
领结婚证所需材料	367
申诉要向什么机构提出？	2058
给人担保，贷款人跑了，现在怎么办？	861
企业不给员工缴纳社保，我该怎么维权？	303
员工工伤认定为第三方责任，公司还需要承担什么责任？	485
我们现在结婚了，我老公能单独立户吗？	109
房产所有权公证怎么办理?	1958
赡养费计算公式是怎么样的?	1248
享受探亲假需要满足什么条件？	3571
什么是诉讼时效?	1046
劳动者在哪些情况下可获得解除劳动合同经济补偿金？	236
你行不行啊	1887
交通事故赔偿中护理费如何计算?	646
劳动争议仲裁	1502
工伤事故	1402
协议离婚的法定程序	91
老公去赌博借了高利贷怎么办？	841
不同意调岗辞职,是否可以要求公司按规定补偿	239
欠钱还不起会坐牢吗	795
试用期干了不到一个月就辞职有工资吗？	271
业主可不可以以房屋存在质量问题或建设单位存在其他的违约情况而不交物业费？	2264
“停薪留职”由哪一方提出？	3642
拒绝治疗就没有停工留薪待遇了吗？	479
9级工伤	2008
患者在医院自杀，医疗机构是否承担责任？	2408
可不可以上诉？	2308
限于当时医疗水平难以诊疗导致患者损害的，医院是否担责？	2426
什么是紧急救助义务？	3604
物业服务企业服务项目、收费标准是否应该公开	2100
儿媳可继承公婆的财产吗？	361
劳动仲裁的受理范围是怎样的？	3422
起诉子女赡养子女不在一个区居住向哪个法院起诉	1245
孩子的抚养权可以归我吗？	17
律师费用一般怎么算?	648
离婚本人不出面可以吗?	121
招聘广告拟写注意事项有哪些？	2568
交通事故造成的民事诉讼诉状怎么写	623
如何申请法院强制执行?	274
安排节假日加班，员工不愿意来怎么办？	512
发出录用通知与候选人体检的顺序如何安排可以降低法律风险？	2597
结婚后购买的房子我能分到多少？	44
房屋买卖合同应包括哪些主要条款	947
快速理赔需要带什么?流程是怎样的?	762
如何申办婚前财产约定协议公证?	996
单位不按照法定的节假日放假应该怎么办，不放假能强制执行吗？	317
被银行起诉，信用卡逾期未还，会坐牢吗？	882
肇事司机逃逸怎么办	754
病假有多少天？	353
提前还贷需要支付违约金吗?	908
物业单位未与业主委员会签订物业服务合同是否延续？	2174
咨询婚姻家庭	1731
酒后驾驶机动车会受到什么处罚	748
去哪里公证	1005
患者或其家属进行医闹活动要承担什么法律责任？	2456
劳动仲裁程序	220
婴儿在医院被偷，医院承担什么责任？	2404
离婚去哪里？	1960
保险理赔	1604
